#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:9
C]7W?Ip0fQ	GRKD-Tegaki	GRKD-Tegaki::1段	縋る	すがる	[sound:縋る すがる.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
oxl}2c:|mr	GRKD-Tegaki	GRKD-Tegaki::1段	囮	おとり	[sound:囮 おとり.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
zBEk9NxC)2	GRKD-Tegaki	GRKD-Tegaki::1段	抉る	くじる	[sound:抉る くじる.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
qTCJ?Q2maQ	GRKD-Tegaki	GRKD-Tegaki::1段	悶える	もだえる	[sound:悶える もだえる.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
Lmn?$P_KpT	GRKD-Tegaki	GRKD-Tegaki::1段	混沌	こんとん	[sound:混沌 こんとん.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
v*gL+U6D,V	GRKD-Tegaki	GRKD-Tegaki::1段	瓦礫	がれき	[sound:瓦礫 がれき.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
Kj7!4`uhIG	GRKD-Tegaki	GRKD-Tegaki::1段	愛撫	あいぶ	[sound:愛撫 あいぶ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
cCry<&HK^l	GRKD-Tegaki	GRKD-Tegaki::1段	爺	じじ	[sound:爺 じじ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
y?4Vm.OaCg	GRKD-Tegaki	GRKD-Tegaki::1段	儂	わし	[sound:儂 わし.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
"n?ioT+#yq"	GRKD-Tegaki	GRKD-Tegaki::1段	髭	ひげ	[sound:髭 ひげ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
F{G1_!z:35	GRKD-Tegaki	GRKD-Tegaki::1段	莫大	ばくだい	[sound:莫大 ばくだい.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
oDA;S!si-,	GRKD-Tegaki	GRKD-Tegaki::1段	撒く	まく	[sound:撒く まく.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
L(52}!78*K	GRKD-Tegaki	GRKD-Tegaki::1段	大袈裟	おおげさ	[sound:大袈裟 おおげさ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
M|.XN[G<2a	GRKD-Tegaki	GRKD-Tegaki::1段	獅子	しし	[sound:獅子 しし.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
skf)y%(lc-	GRKD-Tegaki	GRKD-Tegaki::1段	嗚咽	おえつ	[sound:嗚咽 おえつ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
L/?5XoToy4	GRKD-Tegaki	GRKD-Tegaki::1段	稀	まれ	[sound:稀 まれ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
CYph]`2?=x	GRKD-Tegaki	GRKD-Tegaki::1段	甲斐がある	かいがある	[sound:甲斐がある かいがある.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
xjx4~r@e-J	GRKD-Tegaki	GRKD-Tegaki::1段	皺	しわ	[sound:皺 しわ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
Ge{8n2(31p	GRKD-Tegaki	GRKD-Tegaki::1段	呆ける	ぼける	[sound:呆ける ぼける.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
DV)6[/a^1D	GRKD-Tegaki	GRKD-Tegaki::1段	仇	あだ	[sound:仇 あだ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
"MT(vw>#oJQ"	GRKD-Tegaki	GRKD-Tegaki::1段	伊達	だて	[sound:伊達 だて.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
E:|gO;H|)~	GRKD-Tegaki	GRKD-Tegaki::1段	蜘蛛	くも	[sound:蜘蛛 くも.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
